10308,111,165,176,333,491,280,,153,155,154,145,117,138,,144.8,,-4.696132597
11693,73,101,120,160,234,193,,166,168,167,168,156,157,,165,,-4.848484848
10310,195,199,245,457,596,392,,120,147,140,125,95,119,,125.4,,-5.103668262
10012,853,1384,1569,2326,2008,1782,,13,14,18,14,15,14,,14.8,,-5.405405405
10304,182,331,421,641,513,473,,125,111,99,96,114,103,,109,,-5.504587156
10471,116,212,233,320,514,318,,151,142,143,147,113,131,,139.2,,-5.890804598
11360,111,155,202,273,252,262,,153,158,150,153,153,144,,153.4,,-6.127770535
10314,316,521,701,1134,976,779,,74,66,54,49,52,55,,59,,-6.779661017
11366,153,241,295,364,323,365,,135,137,126,139,142,126,,135.8,,-7.216494845
11413,180,233,228,387,315,350,,126,140,146,133,145,127,,138,,-7.971014493
11363,59,92,147,157,153,217,,169,169,160,169,166,153,,166.6,,-8.163265306
10020,72,181,312,270,284,284,,167,149,123,154,151,136,,148.8,,-8.602150538
10016,868,1653,1906,2967,2386,2033,,11,7,11,6,9,8,,8.8,,-9.090909091
11364,189,405,411,598,523,509,,124,90,101,108,112,97,,107,,-9.345794393
10075,364,634,758,924,942,861,,56,49,46,61,59,49,,54.2,,-9.594095941
10004,528,963,1122,1437,1506,1430,,31,26,26,32,26,25,,28.2,,-11.34751773
10038,351,675,770,1109,1081,892,,64,45,45,51,44,44,,49.8,,-11.64658635
10463,285,395,488,708,787,622,,85,92,86,88,74,75,,85,,-11.76470588
10309,215,383,471,580,559,552,,108,95,91,111,104,89,,101.8,,-12.57367387
10306,310,520,598,927,739,724,,79,67,65,60,76,60,,69.4,,-13.54466859
11224,135,252,284,580,496,442,,146,133,132,111,116,110,,127.6,,-13.79310345
10001,1018,1652,2084,2893,2663,2423,,6,8,6,9,6,6,,7,,-14.28571429
10035,406,466,413,618,578,650,,50,76,100,103,98,73,,85.4,,-14.51990632
10034,144,241,293,467,468,438,,140,137,128,123,123,111,,130.2,,-14.74654378
10307,95,128,198,207,298,298,,163,163,151,162,148,134,,157.4,,-14.86658196
11228,228,325,376,580,479,528,,99,112,109,111,119,93,,110,,-15.45454545
10030,230,349,262,350,324,464,,98,104,137,143,141,105,,124.6,,-15.73033708
11220,465,871,1199,1315,1161,1214,,40,29,24,36,38,28,,33.4,,-16.16766467
10023,1342,2092,2555,3387,3349,2849,,4,5,5,5,5,4,,4.8,,-16.66666667
10454,198,286,353,640,477,514,,117,121,116,97,120,95,,114.2,,-16.81260946
11237,359,432,498,808,814,713,,60,79,84,74,71,61,,73.6,,-17.11956522
11208,190,304,391,639,659,566,,123,116,107,98,84,87,,105.6,,-17.61363636
11217,465,757,1010,1217,1357,1199,,40,37,30,42,30,29,,35.8,,-18.99441341
10065,756,1338,1550,2101,2184,1792,,18,15,19,17,12,13,,16.2,,-19.75308642
11205,325,565,712,835,891,844,,72,57,53,71,64,50,,63.4,,-21.13564669
11415,137,129,139,239,279,369,,145,162,163,158,152,123,,156,,-21.15384615
10006,265,407,406,591,575,610,,88,89,103,109,101,77,,98,,-21.42857143
11365,253,597,560,618,500,677,,91,53,71,103,115,68,,86.6,,-21.47806005
10281,35,83,55,114,165,287,,175,171,179,172,163,135,,172,,-21.51162791
11213,163,289,551,439,428,539,,131,120,73,130,131,91,,117,,-22.22222222
11367,227,298,360,536,483,563,,100,119,113,118,118,88,,113.6,,-22.53521127
10002,926,1422,1694,2766,2052,2031,,9,13,13,10,14,9,,11.8,,-23.72881356
10026,315,422,480,658,602,708,,75,81,89,92,92,64,,85.8,,-25.40792541
11222,452,683,871,924,964,1040,,43,43,39,61,56,35,,48.4,,-27.68595041
11231,359,642,745,973,969,959,,60,48,48,59,55,39,,54,,-27.77777778
11201,878,1607,1953,2488,2251,2080,,10,9,8,12,10,7,,9.8,,-28.57142857
10301,214,352,464,607,576,664,,109,103,94,106,99,70,,102.2,,-31.50684932
11230,469,811,926,1564,1336,1508,,38,32,35,25,31,22,,32.2,,-31.67701863
11225,111,285,290,440,446,568,,153,122,130,129,130,86,,132.8,,-35.24096386
